code,eng,thai
A061,Chronic interstinal amoebiasis,โรคบิดมีตัวเรื้อรัง
A062,Amoebic nondysenteric colitis,ลำไส้ใหญ่อักเสบจากอะมีบาโดยไม่เป็นบิด
A063,Amoeboma of intestine,ก้อนทูมอะมีบาที่ลำไส้
A064,Amoebic liver abscess,ฝีที่ตับจากตัวอะมีบา
A065,Amoebic lung abscess (J998*),ฝีในปอดจากตัวอะมีบา(J998*)
A066,Amoebic brain abscess (G07*),ฝีในสมองจากตัวอะมีบา(G07*)
A067,Cutaneous amoebiasis,โรคติดเชื้ออะมีบาที่ผิวหนัง
A068,Amoebic infection of other sites,โรคติดเชื้ออะมีบาที่ตำแหน่งอื่น
A069,Amoebiasis unspecified,โรคติดเชื้ออะมีบาที่มิได้ระบุรายละเอียด
A07,Other protozoal intestinal diseases,โรคลำไส้จากเชื้อโปรโตซัวอื่น
A070,Balantidiasis,โรคติดเชื้อบาลานติเดียม
A071,Giardiasis [lambliasis],โรคติดเชื้อไกอาร์เดีย(แลมเบียร์)
A072,Cryptosporidiosis,โรคติดเชื้อคริปโตสปอริเดียม
A073,Isosporiasis,โรคติดเชื้อไอโซสปอรา
A078,Other specified protozoal intestinal diseases,โรคลำไส้จากเชื้อโปรโตซัวที่ระบุรายละเอียดอื่น
A079,Protozoal intestinal disease unspecified,โรคลำไส้จากเชื้อโปรโตซัวที่มิได้ระบุรายละเอียด
A08,Viral and other specified intestinal infections,โรคติดเชื้อของลำไส้จากไวรัสและเชื้อที่ระบุรายละเอียดอื่น
A080,Rotaviral enteritis,ลำไส้อักเสบจากเชื้อโรตาไวรัส
A081,Acute gestroenteropathy due to Norwalk agent,กระเพาะอาหารและลำไส้เกิดพยาธิสภาพเฉียบพลันจาก สารนอร์วอล์ค
A082,Adenoviral enteritis,ลำไส้อักเสบจากอดีโนไวรัส
A083,Other viral enteritis,ลำไส้อักเสบจากไวรัสอื่น
A084,Viral intestinal infection unspecified,ลำไส้อักเสบจากไวรัส ที่มิได้ระบุรายละเอียด
A085,Other specified intestinal infections,โรคลำไส้ติดเชื้อที่ระบุรายละเอียดอื่น
A09,Diarrhoea and gastroenteritis of presumed infectious origin,อาการท้องร่วง กระเพาะและลำไส้อักเสบซึ่งสันนิษฐานว่าเกิดจากการติดเชื้อ
A15,Respiratory tuberculosis bacteriologically and histologically confirmed,วัณโรคทางเดินหายใจ ยืนยันโดยการตรวจหาเชื้อ และการตรวจชิ้นเนื้อ
A150,Tuberculosis of lung confirmed by sputum microscopy with or without culture,วัณโรคของปอด ยืนยันโดยการตรวจเสมหะพบเชื้อ โดยอาจมีหรือไม่มีผลเพาะเชื้อ
A151,Tuberculosis of lung confirmed by culture only,วัณโรคปอด ยืนยันโดยการเพาะเชื้อเท่านั้น
A152,Tuberculosis of lung confirmed histologically,วัณโรคปอด ยืนยันโดยการตรวจชิ้นเนื้อ
A153,Tuberculosis of lung confirmed by unspecified means,วัณโรคปอด โดยไม่ระบุวิธียืนยัน
A154,Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically,วัณโรคของต่อมน้ำเหลืองในทรวงอก ยืนยันโดยการตรวจเชื้อ และการตรวจชิ้นเนื้อ
A155,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,วัณโรคของกล่องเสียง หลอดคอ หลอดลมใหญ่ ยืนยันโดยการตรวจหาเชื้อและการตรวจชิ้นเนื้อ
A156,Tuberculous pleurisy confirmed bacteriologically and histologically,เยื้อหุ้มปอดอักเสบจากวัณโรค ยืนยันโดยการตรวจพบเชื้อ และการตรวจชิ้นเนื้อ
A157,Primary respiratory tuberculosis confirmed bacteriologically and histologically,วัณโรคทางเดินหายใจชนิดปฐมภูมิ ยืนยันโดยการตรวจหาเชื้อ และการตรวจชิ้นเนื้อ
A158,Other respiratory tuberculosis confirmed bacteriologically and histologically,วัณโรคทางเดินหายใจอื่น ยืนยันโดยการตรวจหาเชื้อ และการตรวจชิ้นเนื้อ
A159,Respiratory tuberculosis unspecified confirmed bacteriologically and histologically,วัณโรคทางเดินหายใจที่มิได้ระบุรายละเอียด ยืนยันโดยการตรวจหาเชื้อ และการตรวจชิ้นเนื้อ
A16,Respiratory tuberculosis not confirmed bacteriologically or histologically,วัณโรคทางเดินหายใจ ที่ไม่ได้ตรวจหาเชื้อหรือตรวจชิ้นเนื้อ
A160,Tuberculosis of lung bacteriologically and histologically negative,วัณโรคปอด ที่ตรวจไม่พบเชื้อ หรือตรวจชิ้นเนื้อเป็นลบ
A161,Tuberculosis of lung bacteriological and histological examination not done,วัณโรคปอด ที่ไม่ได้ตรวจหาเชื้อ หรือตรวจชิ้นเนื้อ
A162,Tuberculosis of lung without mention of bacteriological or histological confirmation,วัณโรคปอด ที่ไม่ได้กล่าวถึงการยืนยันด้วยการตรวจหาเชื้อ หรือการตรวจชิ้นเนื้อ
A163,Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation,วัณโรคของต่อมน้ำเหลืองในทรวงอก ที่ไม่ได้กล่าวถึงการยืนยันโดยการตรวจหาเชื้อ และการตรวจชิ้นเนื้อ
A164,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,วัณโรคของกล่องเสียง หลอดคอ หลอดลมใหญ่ ที่ไม่ได้กล่าวถึงการยืนยันโดยการตรวจหาเชื้อและการตรวจชิ้นเนื้อ
A165,Tuberculos pleurisy without mention of bacteriological or histological confirmation,เยื้อหุ้มปอดอักเสบไม่ได้กล่าวถึงการยืนยันการตรวจหาเชื้อ หรือชิ้นเนื้อ
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,วัณโรคทางเดินหายใจชนิดปฐมภูมิ ไม่กล่าวถึงการยืนยันการตรวจหาเชื้อ หรือชิ้นเนื้อ
A168,Other respiratory tuberculosis without mention of bacteriological or histological confirmation,วัณโรคทางเดินหายใจอื่น ไม่ได้กล่าวถึงการยืนยันการตรวจหาเชื้อ หรือชิ้นเนื้อ
A169,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,วัณโรคทางเดินหายใจชนิดที่มิได้ระบุรายละเอียด ไม่กล่าวถึงการยืนยันการตรวจหาเชื้อหรือชิ้นเนื้อ
A17,Tuberculosis of nervous system,วัณโรคของระบบประสาท
A170,Tuberculous meningitis (G01*),เยื้อหุ้มสมองอักเสบจากเชื้อวัณโรค
A171,Meningeal tuberculoma (G07*),ฝีวัณโรคที่เยื้อหุ้มสมอง
A178,Other tuberculosis of nervous system,วัณโรคของระบบประสาทอื่น
A179,Tuberculosis of nervous system unspecified (G998*),วัณโรคของระบบประสาท ที่มิได้ระบุรายละเอียด(G998*)
A18,Tuberculosis of other organs,วัณโรคของอวัยวะอื่น
A180,Tuberculosis of bones and joints,วัณโรคของกระดูก และข้อ
A181,Tuberculosis of genitourinary system,วัณโรคของระบบสืบพันธุ์และทางเดินปัสสาวะ
A182,Tuberculous peripheral lymphadenopathy,วัณโรคต่อมน้ำเหลืองส่วนปลาย
A183,Tuberculosis of intestines peritoneum and mesenteric glands,วัณโรคของลำไส้ เยื้อบุช่องท้องและต่อมน้ำเหลืองที่เยื้อแขวนลำไส้
A184,Tuberculosis of skin and subcutaneous tissue,วัณโรคของผิวหนัง และเนื้อเยื่อใต้ผิวหนัง
A185,Tuberculosis of eye,วัณโรคของตา
A186,Tuberculosis of ear,วัณโรคของหู
A187,Tuberculosis of adrenal glands [E351*],วัณโรคของต่อมหมวกไต
A188,Tuberculosis of other specified organs,วัณโรคของอวัยวะที่ระบุรายละเอียดอื่น
A19,Miliary tuberculosis,วัณโรคชนิดแพร่กระจาย
A190,Acute miliary tuberculosis of a single specified site,วัณโรคชนิดแพร่กระจาย เฉียบพลัน ที่ระบุตำแหน่งจำเพาะแห่งเดียว
A191,Acute miliary tuberculosis of multiple sites,วัณโรคชนิดแพร่กระจาย เฉียบพลัน ที่ระบุตำแหน่งหลายตำแหน่ง
A192,Acute miliary tuberculosis unspecified,วัณโรคชนิดแพร่กระจาย เฉียบพลัน ที่มิได้ระบุรายละเอียด
A198,Other miliary tuberculosis,วัณโรคชนิดแพร่กระจายแบบอื่น
A199,Miliary tuberculosis unspecified,วัณโรคชนิดแพร่กระจาย ที่มิได้ระบุรายละเอียด
A20,Plague,กาฬโรค
A200,Bubonic plague,กาฬโรคของต่อมน้ำเหลือง
A201,Cellulocutaneous plague,กาฬโรคของผิวหนัง
A202,Pneumonic plague,กาฬโรคของปอด
A203,Plague meningitis,กาฬโรคของเยื้อหุ้มสมอง
A207,Septicaemic plague,โลหิตเป็นพิษจากกาฬโรค
A208,Other forms of plague,กาฬโรครูปแบบอื่น
A209,Plague unspecified,กาฬโรค ที่มิได้ระบุรายละเอียด
A21,Tularemia,โรคทูลารีเมีย 
A210,Ulceroglandular tularaemia,โรคทูลารีเมีย ชนิดต่อมต่างๆเป็นแผลเปื่อย
A211,Oculoglandular tularaemia,โรคทูลารีเมีย ของต่อมลูกตา
A212,Pulmonary tularaemia,โรคปอดบวมทูลารีเมีย
A213,Gestrointestinal tularaemia,โรคทูลารีเมียที่กระเพาะอาหารและลำไส้
A217,Generalized tularaemia,โรคทูลารีเมียที่ทั่วไป
A218,Other forms of tularaemia,โรคทูลารีเมียแบบอื่น
A219,Tularaemia unspecified,โรคทูลารีเมียที่มิได้ระบุรายละเอียด
A22,Anthrax,โรคแอนแทร็คซ์
A220,Cutaneous anthrax,โรคแอนแทร็คซ์ที่ผิวหนัง
A221,Pulmonary anthrax,โรคแอนแทร็คซ์ของปอด
A222,Gestrointestinal anthrax,โรคแอนแทร็คซ์ของกระเพาะอาหารและลำไส้
A227,Anthrax septicaemia,โลหิตเป็นพิษจากแอนแทร็คซ์
A228,Other forms of anthrax,โรคแอนแทร็คซ์รูปแบบอื่น
A229,Anthrax unspecified,โรคแอนแทร็คซ์ที่มิได้ระบุรายละเอียด
A23,Brucellosis,โรคติดเชื้อบรูเซลลา
A230,Brucellosis due to Brucella melitensis,โรคติดเชื้อบรูเซลลาจาก บรูเซลลา เมลิเทนสิส
A231,Brucellosis due to Brucella abortus,โรคติดเชื้อบรูเซลลาจาก บรูเซลลา อะบอร์ตัส
A232,Brucellosis due to Brucella suis,โรคติดเชื้อบรูเซลลาจาก บรูเซลลา ซูอิส
A233,Brucellosis due to Brucella canis,โรคติดเชื้อบรูเซลลาจาก บรูเซลลา แคนิส
A238,Other brucellosis,โรคติดเชื้อบรูเซลลาชนิดอื่น
A239,Brucellosis unspecified,โรคติดเชื้อบรูเซลลา ที่มิได้ระบุรายละเอียด
A24,Glanders and melioidosis,โรคแกลนเดอร์และเมลิออยโดสิส
A240,Glanders,โรคแกลนเดอร์
A241,Acute and fulminating melioidosis,โรคติดเชื้อ เมลิออยโดสิสเฉียบพลันและร้ายแรง
A242,Subacute and chronic melioidosis,โรคติดเชื้อ เมลิออยโดสิสรองเฉียบพลันและเรื้อรัง
A243,Other melioidosis,โรคติดเชื้อ เมลิออยโดสิสชนิดอื่น
A244,Melioidosis unspecified,โรคติดเชื้อ เมลิออยโดสิส ที่มิได้ระบุรายละเอียด
A25,Rab-bite fever,ไข้ที่เกิดจากหนูกัด
A250,Spirillosis,โรคติดเชื้อ สไปริลลา
A251,Streptobacillosis,โรคติดเชื้อ สเตร็ปโตแบซิลโลสิส
A259,Rat-bite feverunspecified,ไข้ที่เกิดจากหนูกัด  ที่มิได้ระบุรายละเอียด
A26,Erysipeloid,โรคผิวหนังที่คล้ายไฟลามทุ่ง
A260,Cutaneous erysipeloid,โรคผิวหนังที่คล้ายไฟลามทุ่ง
A267,Erysipelothrix septicaemia,โลหิตเป็นพิษจากเชื้ออีริซิเพโลธริกซ์
A268,Other forms of erysipeloid,โรคผิวหนังที่คล้ายไฟลามทุ่งรูปแบบอื่น
A269,Erysipeloid unspecified,โรคผิวหนังที่คล้ายไฟลามทุ่ง ที่มิได้ระบุรายละเอียด
A27,Leptospirosis,โรคฉี่หนู
A270,Leptospirosis icterohaemorrhagica,โรคเล็ปโตสไปโรสิส อิคเทอโรฮีโมราจิกา
A278,Other forms of leptospirosis,โรคเล็ปโตสไปโรสิส รูปแบบอื่น
A279,Leptospirosis unspecified,โรคเล็ปโตสไปโรสิส ที่มิได้ระบุรายละเอียด
A28,Other zoonotic bacterial diseases not elsewhere classified,โรคติดเชื้อแบคทีเรียจากสัตว์อื่นที่มิได้มีรหัสระบุไว้ที่อื่น
A280,Pasteurellosis,โรคติดเชื้อปาสทูเรลลา
A281,Cat-scratch disease,โรมแมวข่วน
A282,Extraintestinal yersiniosis,โรคติดเชื้อเยอร์ซีเนียนอกลำไส้
A288,Other specified zoonotic bacterial diseases not elsewhere classified,โรคติดเชื้อแบคทีเรียจากสัตว์อื่น ที่มิได้มีรหัสระบุไว้ที่อื่น
A289,Zoonotic bacterial diseaseunspecified,โรคติดเชื้อแบคทีเรียจากสัตว์ ที่มิได้ระบุรายละเอียด
A30,Leprosy (Hansen's disease),โรคเรื้อน 
A300,Indeterminate leprosy,โรคเรื้อนที่แยกชนิดไม่ได้
A301,Tuberculoid leprosy,โรคเรื้อนชนิดทูเบอร์คูลอยด์
A302,Borderline tuberculoid leprosy,โรคเรื้อนชนิดก้ำกึ่งทูเบอร์คูลอยด์
A303,Borderline leprosy,โรคเรื้อนชนิดก้ำกึ่ง
A304,Borderline lepromatous leprosy,โรคเรื้อนชนิดก้ำกึ่งเลโปรมาตัส
A305,Lepromatous leprosy,โรคเรื้อนชนิดเลโปรมาตัส
A308,Other forms of leprosy,โรคเรื้อนรูปแบบอื่น
A309,Leprosy unspecified,โรคเรื้อน ที่มิได้ระบุรายละเอียด
A31,Infection due to other mycobacteria,โรคติดเชื้อจากมัยโคแบคทีเรียอื่น
A310,Pulmonary mycobacterial infection,การติดเชื้อมัยโคแบคทีเรียที่ปอด
A311,Cutaneous mycobacterial infection,โรคผิวหนังติดเชื้อมัยโคแบคทีเรีย
A318,Other mycobacterial infections,โรคติดเชื้อจากมัยโคแบคทีเรียอื่น
A319,Mycobacterial infection unspecified,โรคติดเชื้อจากมัยโคแบคทีเรีย ที่มิได้ระบุรายละเอียด
A32,Listeriosis,โรคติดเชื้อลิสเทอเรีย
A320,Cutaneous listeriosis,โรคติดเชื้อลิสเทอเรียที่ผิวหนัง
A321,Listerial meningitis and meningoencephalitis,โรคสมองอักเสบและเยื้อหุ้มสมองอักเสบจากเชื้อลิสทีเรีย
A327,Listerial septicaemia,โลหิตเป็นพิษจากเชื้อลิสเทอเรีย
A328,Other forms of listeriosis,โรคติดเชื้อลิสทีเรียรูปแบบอื่น
A329,Listeriosis unspecified,โรคติดเชื้อลิสทีเรีย ที่มิได้ระบุรายละเอียด
A33,Tetanus neonatorum,บาดทะยักในเด็กแรกเกิด
A34,Obstetrical tetanus,บาดทะยักที่เกิดขึ้นเนื่องจากการคลอด
A35,Other tetanus,บาดทะยักชนิดอื่น
A36,Diphtheria,โรคคอตีบ
A360,Pharyngeal diphtheria,โรคคอตีบของคอหอย
A361,Nasopharyngeal diphtheria,โรคคอตีบของคอหอยส่วนที่ต่อกับจมูก
A362,Laryngeal diphtheria,โรคคอตีบของกล่องเสียง
A363,Cutaneous diphtheria,โรคผิวหนังอักเสบจากเชื้อโรคคอตีบ
A368,Other diphtheria,โรคคอตีบชนิดอื่น
A369,Diphtheria unspecified,โรคคอตีบ  ที่มิได้ระบุรายละเอียด
A37,Whooping cough,โรคไอกรน
A370,Whooping cough due to Bordetella pertusis,โรคไอกรนจากเชื้อ บอร์เดเทลลา เปอร์ทัสสิส
A371,Whooping cough due to Bordetella parapertussis,โรคไอกรนจากเชื้อ บอร์เดเทลลา พาราเปอร์ทัสสิส
A378,Whooping cough due to other Bordetella species,โรคไอกรนจากเชื้อ บอร์เดเทลลา อื่นๆ
A379,Whooping coughunspecified,โรคไอกรน  ที่มิได้ระบุรายละเอียด
A38,Scarlet fever,โรคไข้ดำแดง
A39,Meningococcal infection,การติดเชื้อเมนิงโกคอคคัส
A390,Meningococcal meningitis [G01*],เยื้อหุ้มสมองอักเสบจากเชื้อ เมนิงโกคอคคัส (G01*)
A391,Waterhouse-Friderichsen syndrome [E351*],กลุ่มอาการอเทอร์เฮาส์-ฟริเดอริคเซน(E351*)
A392,Acute meningococcaemia,การติดเชื้อ เมนิงโกคอคคัสเฉียบพลัน
A393,Chronic meningococcaemia,การติดเชื้อ เมนิงโกคอคคัสเรื้อรัง
A394,Meningococcaemia unspecified,การติดเชื้อ เมนิงโกคอคคัส ที่มิได้ระบุรายละเอียด
A395,Meningococcal heart disease,โรคหัวใจจากเชื้อเมนิงโกคอคคัส
A398,Other meningococcal infections,การติดเชื้อเมนิงโกคอคคัสอื่น
A399,Meningococcal infection unspecified,การติดเชื้อเมนิงโกคอคคัส ที่มิได้ระบุรายละเอียด
A40,Streptococcal septicaemia,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส
A400,Septicemia due to streptococcus group A,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส  กลุ่ม เอ
A401,Septicemia due to streptococcus group B,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส กลุ่ม บี
A402,Septicemia due to streptococcus group D,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส  กลุ่ม ดี
A403,Septicemia due to streptococcus pneumoniae,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส นิวโมเนียอี
A408,Other streptococcal septicaemia,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัสชนิดอื่น
A409,Straptococcal septicaemia unspecified,โลหิตเป็นพิษจากเชื้อสเตร็ปโตคอคคัส ที่มิได้ระบุรายละเอียด
A41,Other speticaemia,โลหิตเป็นพิษจากเชื้อชนิดอื่น
A410,Septicaemia due to Staphylococcus aureus,โลหิตเป็นพิษจากเชื้อสตาฟีโลคอคคัส ออเรียส
A411,Septicaemia due to other specified staphylococcus,โลหิตเป็นพิษจากเชื้อสตาฟิโลคอคคชนิดอื่น
A412,Septicaemia due to unspecified staphylococcus,โลหิตเป็นพิษจากเชื้อสตาฟีโลคอคคัส ที่มิได้ระบุรายละเอียด
A413,Septicaemia due to Haemophilus influenzae,โลหิตเป็นพิษจากเชื้อฮีโมฟิลคัส อินฟบูเอนเซ
A414,Septicaemia due to anaerobes,โลหิตเป็นพิษจากเชื้อซึ่งไม่ต้องการออกซิเจน
A415,Septicaemia due to other Gram-negative organisms,โลหิตเป็นพิษจากเชื้อกรัมลบอื่น
A418,Other specified septicaemia,โลหิตเป็นพิษระบุรายละเอียดอื่น
A419,Septicaemia unspecified,โลหิตเป็นพิษ ที่มิได้ระบุรายละเอียด
A42,Actinomycosis,โรคจากเชื้อราแอคติโนมัยโคซิส
A420,Pulmonary actinomycosis,โรคติดเชื้อแอคติโนมัยโคซิส ที่ปอด
A421,Abdominal actinomycosis,โรคติดเชื้อแอคติโนมัยโคซิส ที่ท้อง
A422,Cervicofacial actinomycosis,โรคติดเชื้อแอคติโนมัยโคซิส บริเวณคอและใบหน้า
A427,Actinomycotic septicaemia,โลหิตเป็นพิษจากโรคเชื้อราแอคติโนมัยโคซิส
A428,Other forms of actinomycosis,โรคเชื้อราแอคติโนมัยโคซิส ชนิดอื่น
A429,Actinomycosis unspecified,โรคเชื้อราแอคติโนมัยโคซิส ที่มิได้ระบุรายละเอียด
A43,Nocardiosis,การติดเชื้อโนคาเดีย (จุลินทรีย์คล้ายรา)
A430,Pulmonary nocardiosis,โรคปอดจากเชื้อโนคาเดีย
A431,Cutaneous nocardiosis,โรคผิวหนังจากเชื้อโนคาเดีย
A438,Other forms of nocardiosis,โรคติดเชื้อโนคาเดียรูปแบบอื่น
A439,Nocardiosis unspecified,โรคติดเชื้อโนคาเดีย ที่มิได้ระบุรายละเอียด
A44,Bartonellosis,การติดเชื้อบาร์โทเนลลา (จุลินทรีย์ลักษณะกลม)
A440,Systemic bartonellosis,การติดเชื้อบาร์โทเนลลา ทั่วร่างกาย
A441,Cutaneous and mucocutaneous bartonellosis,การติดเชื้อบาร์เทนโทเนลลาของผิวหนังและเยื่อเมือก
A448,Other form of bartonellosis,การติดเชื้อบาร์โทเนลลารูปแบบอื่น
A449,Bartonellosis unspecified,การติดเชื้อบาร์โทเนลลา ที่มิได้ระบุรายละเอียด
A46,Erysipelas,โรคไฟลามทุ่ง
A48,Other bacterial diseases not elsewhere classified,โรคติดเชื้อแบคทีเรียอื่น ที่มิได้รหัสระบุไว้ที่อื่น
A480,Gas gangrene,เนื้อเน่าตายมีแกส
A481,Legionnaires' disease,โรคลีจันแนร์
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],โรคลีจันแนร์ที่ไม่เกี่ยวกับปอด(ไข้ปอนเตียก)
A483,Tixic shock syndrome,กลุ่มอาการท็อกซิค ช็อค
A484,Brazilian purpuric fever,ไข้เลือดออกเป็นจุดในบราซิล
A488,Other specified bacterial diseases,โรคติดเชื้อแบคทีเรียที่มิได้ระบุรายละเอียด
A49,Bacterial infection of unspecified site,โรคติดเชื้อแบคทีเรียที่ไม่ระบุตำแหน่งที่เป็น
A490,Staphylococcal infectionunspecified,การติดเชื้อ สแท็ฟฟิโลคอคคัส ที่มิได้ระบุรายละเอียด
A491,Streptococcal infectionunspecified,การติดเชื้อ สเตร็ปโตคอคคัส ที่มิได้ระบุรายละเอียด
A492,Haemophilus influenzae infectionunspecified,การติดเชื้อ ฮีโมฟิลลุส อินฟลูเอนซา ที่มิได้ระบุรายละเอียด
A493,Mycoplasma infection unspecified,การติดเชื้อ มัยโคพลาสมา ที่มิได้ระบุรายละเอียด
A498,Other bacterial infections of unspecified site,การติดเชื้อแบคทีเรียอื่นที่ระบุตำแหน่งที่เป็น
A499,Bacterial infection unspecified,การติดเชื้อแบคทีเรีย ที่มิได้ระบุรายละเอียด
A50,Congenital syphilis,ซิฟิลิสแต่กำเนิด
A500,Early congenital syphilis symptomatic,ซิฟิลิสแต่กำเนิดระยะเริ่มชนิดแสดงอาการ
A501,Early congenital syphilis latent,ซิฟิลิสแต่กำเนิดระยะเริ่มชนิดแฝง
A502,Early congenital syphilis unspecified,ซิฟิลิสแต่กำเนิดระยะเริ่ม ที่มิได้ระบุรายละเอียด
A503,Late congenital syphilitic oculopathy,โรคตาจากซิฟิลิสแต่กำเนิดระยะหลัง
A504,Late congenital neurosyphilis [juvenile neurosyphilis],ซิฟิลิสที่ระบบประสาทแต่กำเนิดระยะหลัง[ซิฟิลิสระบบประสาทในวัยเด็ก]
A505,Other late congential syphilis symptomatic,ซิฟิลิสแต่กำเนิดระยะหลังชนิดอื่นแบบแสดงอาการ
A506,Late congenital syphilis latent,ซิฟิลิสแต่กำเนิดระยะหลัง ชนิดแฝง
A507,Late congenital syphilis unspecified,ซิฟิลิสแต่กำเนิดระยะหลัง ที่มิได้ระบุรายละเอียด
A509,Congenital syphilis  unspecified,ซิฟิลิสแต่กำเนิด ที่มิได้ระบุรายละเอียด
A51,Early syphilis,ซิฟิลิสระยะเริ่ม
